ID			Imag	Vmag	Period		Iamp	[Fe/H]		R21	R31	Phi21	Phi31	
OGLE-BLG-RRLYR-00598   16.42700   17.80800    0.44877    0.88100   -0.93543    0.48647    0.38288    4.11100    5.34759
OGLE-BLG-RRLYR-00602   16.41100   18.19800    0.48268    0.79400   -1.03657    0.49850    0.37670    4.14300    5.42659
OGLE-BLG-RRLYR-00603   16.30200   17.78800    0.44817    0.86100   -1.07344    0.49147    0.37914    4.03400    5.17659
OGLE-BLG-RRLYR-00605   17.15700   19.22800    0.40953    0.67700   -0.90870    0.43536    0.19771    4.11800    5.14659
OGLE-BLG-RRLYR-00609   18.26800   20.27700    0.59603    0.57600   -1.19258    0.49289    0.34997    4.38800    5.91159
OGLE-BLG-RRLYR-00611   16.78500   18.95900    0.45259    0.65000   -1.01352    0.41641    0.24030    4.15100    5.27559
OGLE-BLG-RRLYR-00615   16.77100   18.68700    0.51214    0.64500   -1.72236    0.41087    0.18947    3.98500    4.76959
OGLE-BLG-RRLYR-00616   16.83900   18.79300    0.54520    0.39800   -0.79593    0.43055    0.23148    4.55200    6.09059
OGLE-BLG-RRLYR-00617   18.42500   21.01900    0.33811    0.40900    0.16157    0.35662    0.15298    4.53500    6.02059
OGLE-BLG-RRLYR-00618   17.01000   19.05700    0.52774    0.63000   -0.95836    0.51906    0.36729    4.30300    5.78959
OGLE-BLG-RRLYR-00622   16.42500   18.54500    0.48132    0.58100   -0.53634    0.55912    0.35331    4.49000    6.02559
OGLE-BLG-RRLYR-00624   16.64800   18.69500    0.58921    0.40000   -0.78672    0.45733    0.27428    4.68300    6.36359
OGLE-BLG-RRLYR-00629   16.24300   17.74100    0.60974    0.57900   -1.22684    0.49341    0.28907    4.51200    5.95159
OGLE-BLG-RRLYR-00635   16.30800   17.90000    0.56720    0.49700   -0.77440    0.49156    0.28959    4.55500    6.24759
OGLE-BLG-RRLYR-00637   17.15500   19.27300    0.46439    0.74900   -1.00627    0.48447    0.35967    4.12300    5.35459
OGLE-BLG-RRLYR-00645   17.66800   19.40300    0.46904    0.65300   -1.10401    0.39447    0.24645    4.07400    5.26359
OGLE-BLG-RRLYR-00649   16.86700   18.39700    0.52520    0.85800   -1.30433    0.47078    0.34847    4.13100    5.35459
OGLE-BLG-RRLYR-00651   16.66200   18.23500    0.40913    0.75000   -0.71393    0.55302    0.39679    4.12100    5.38059
OGLE-BLG-RRLYR-00660   16.84500   19.17600    0.68782    0.18000   -0.85148    0.27860    0.09471    4.94000    6.87159
OGLE-BLG-RRLYR-00663   17.00100   19.35100    0.61682    0.25100   -0.57681    0.39151    0.18110    4.82600    6.78259
OGLE-BLG-RRLYR-00666   17.09000   19.22500    0.50337    0.39600   -0.31731    0.46030    0.26386    4.71500    6.42259
OGLE-BLG-RRLYR-00667   16.34400   18.25400    0.46179    0.48700   -1.18797    0.45571    0.23613    4.07500    5.11859
OGLE-BLG-RRLYR-00668   16.57000   18.45400    0.49659    0.79600   -1.06030    0.51291    0.37624    4.16300    5.48059
OGLE-BLG-RRLYR-00669   16.44000   18.36500    0.49483    0.62100   -0.78301    0.55379    0.35819    4.44800    5.80659
OGLE-BLG-RRLYR-00671   16.64800   18.54500    0.55358    0.54600   -0.94988    0.50755    0.32430    4.43800    5.95359
OGLE-BLG-RRLYR-00675   17.01100   18.95000    0.44060    0.61800   -0.93495    0.44892    0.26141    4.14000    5.29959
OGLE-BLG-RRLYR-00676   16.75500   18.61900    0.44188    0.92000   -1.00058    0.49728    0.37080    4.07400    5.22759
OGLE-BLG-RRLYR-00677   16.57800   18.39900    0.60942    0.53900   -1.10498    0.50898    0.32270    4.55000    6.09759
OGLE-BLG-RRLYR-00678   17.02800   19.04700    0.57264    0.47300   -0.72442    0.48712    0.28002    4.67100    6.34059
OGLE-BLG-RRLYR-00680   17.39800   19.42900    0.51401    0.60700   -1.03939    0.59097    0.43146    4.44700    5.60959
